size_bytes,access_type,run,latency_ns
8192,post_migration,6,390000
8192,cpu_baseline,7,5300
8192,post_migration,7,425700
8192,cpu_baseline,8,6500
8192,post_migration,8,677400
8192,cpu_baseline,9,6900
8192,post_migration,9,549200
8192,cpu_baseline,10,6400
8192,post_migration,10,519700
8192,cpu_baseline,11,5500
8192,post_migration,11,427800
8192,cpu_baseline,12,4700
8192,post_migration,12,496200
8192,cpu_baseline,13,5900
8192,post_migration,13,417800
8192,cpu_baseline,14,6500
8192,post_migration,14,426800
8192,cpu_baseline,15,5400
8192,post_migration,15,417300
8192,cpu_baseline,16,6500
8192,post_migration,16,406600
8192,cpu_baseline,17,4300
8192,post_migration,17,408600
8192,cpu_baseline,18,5200
8192,post_migration,18,419100
8192,cpu_baseline,19,4200
8192,post_migration,19,425700
8192,cpu_baseline,20,10800
8192,post_migration,20,428700
8192,cpu_baseline,21,5700
8192,post_migration,21,440800
8192,cpu_baseline,22,4300
8192,post_migration,22,505900
8192,cpu_baseline,23,6400
8192,post_migration,23,528100
8192,cpu_baseline,24,6100
8192,post_migration,24,569400
8192,cpu_baseline,25,5700
8192,post_migration,25,663200
8192,cpu_baseline,26,6900
8192,post_migration,26,621900
8192,cpu_baseline,27,6100
8192,post_migration,27,535900
8192,cpu_baseline,28,6400
8192,post_migration,28,464100
8192,cpu_baseline,29,4500
8192,post_migration,29,433800
16384,cpu_baseline,0,439900
16384,post_migration,0,433600
16384,cpu_baseline,1,10300
16384,post_migration,1,447400
16384,cpu_baseline,2,9500
16384,post_migration,2,636400
16384,cpu_baseline,3,15500
16384,post_migration,3,665500
16384,cpu_baseline,4,12800
16384,post_migration,4,558300
16384,cpu_baseline,5,10600
16384,post_migration,5,512600
16384,cpu_baseline,6,10600
16384,post_migration,6,483500
16384,cpu_baseline,7,10600
16384,post_migration,7,495800
16384,cpu_baseline,8,10600
16384,post_migration,8,466700
16384,cpu_baseline,9,10600
16384,post_migration,9,468800
16384,cpu_baseline,10,8900
16384,post_migration,10,473000
16384,cpu_baseline,11,10300
16384,post_migration,11,447000
16384,cpu_baseline,12,11700
16384,post_migration,12,440500
16384,cpu_baseline,13,8400
16384,post_migration,13,441700
16384,cpu_baseline,14,10000
16384,post_migration,14,463700
16384,cpu_baseline,15,9700
16384,post_migration,15,517000
16384,cpu_baseline,16,10600
16384,post_migration,16,600400
16384,cpu_baseline,17,11300
16384,post_migration,17,442800
16384,cpu_baseline,18,11000
16384,post_migration,18,431200
16384,cpu_baseline,19,11000
16384,post_migration,19,443300
16384,cpu_baseline,20,11600
16384,post_migration,20,426600
16384,cpu_baseline,21,9400
16384,post_migration,21,467200
16384,cpu_baseline,22,12600
16384,post_migration,22,472100
16384,cpu_baseline,23,11300
16384,post_migration,23,473000
16384,cpu_baseline,24,9800
16384,post_migration,24,456300
16384,cpu_baseline,25,10000
16384,post_migration,25,476200
16384,cpu_baseline,26,10300
16384,post_migration,26,430100
16384,cpu_baseline,27,8900
16384,post_migration,27,413300
16384,cpu_baseline,28,8900
16384,post_migration,28,428400
16384,cpu_baseline,29,8900
16384,post_migration,29,449200
32768,cpu_baseline,0,464700
32768,post_migration,0,489700
32768,cpu_baseline,1,16900
32768,post_migration,1,457400
32768,cpu_baseline,2,16900
32768,post_migration,2,628300
32768,cpu_baseline,3,27400
32768,post_migration,3,757900
32768,cpu_baseline,4,37000
32768,post_migration,4,482100
32768,cpu_baseline,5,18900
32768,post_migration,5,474700
32768,cpu_baseline,6,18900
32768,post_migration,6,624800
32768,cpu_baseline,7,34700
32768,post_migration,7,536300
32768,cpu_baseline,8,26700
32768,post_migration,8,546700
32768,cpu_baseline,9,21700
32768,post_migration,9,527600
32768,cpu_baseline,10,16900
32768,post_migration,10,460600
32768,cpu_baseline,11,16900
32768,post_migration,11,501400
32768,cpu_baseline,12,23600
32768,post_migration,12,494200
32768,cpu_baseline,13,23500
32768,post_migration,13,520500
32768,cpu_baseline,14,18300
32768,post_migration,14,753400
32768,cpu_baseline,15,34700
32768,post_migration,15,598100
32768,cpu_baseline,16,27300
32768,post_migration,16,564000
32768,cpu_baseline,17,23700
32768,post_migration,17,457100
32768,cpu_baseline,18,17800
32768,post_migration,18,471100
32768,cpu_baseline,19,21200
32768,post_migration,19,475400
32768,cpu_baseline,20,17700
32768,post_migration,20,460200
32768,cpu_baseline,21,17800
32768,post_migration,21,485000
32768,cpu_baseline,22,17800
32768,post_migration,22,470300
32768,cpu_baseline,23,17800
32768,post_migration,23,534700
32768,cpu_baseline,24,17800
32768,post_migration,24,456000
32768,cpu_baseline,25,21300
32768,post_migration,25,492700
32768,cpu_baseline,26,21700
32768,post_migration,26,481200
32768,cpu_baseline,27,17700
32768,post_migration,27,626200
32768,cpu_baseline,28,22700
32768,post_migration,28,555000
32768,cpu_baseline,29,18200
32768,post_migration,29,484000
65536,cpu_baseline,0,531100
65536,post_migration,0,543600
65536,cpu_baseline,1,41400
65536,post_migration,1,537900
65536,cpu_baseline,2,38400
65536,post_migration,2,564000
65536,cpu_baseline,3,35500
65536,post_migration,3,507000
65536,cpu_baseline,4,159200
65536,post_migration,4,555500
65536,cpu_baseline,5,45400
65536,post_migration,5,519600
65536,cpu_baseline,6,37600
65536,post_migration,6,497300
65536,cpu_baseline,7,35600
65536,post_migration,7,525300
65536,cpu_baseline,8,42400
65536,post_migration,8,574100
65536,cpu_baseline,9,35700
65536,post_migration,9,570900
