advice,run,phase,latency_ns
read_mostly,37,cpu_baseline,32471400
read_mostly,37,post_migration,688659300
read_mostly,38,cpu_baseline,32698700
read_mostly,38,post_migration,688756700
read_mostly,39,cpu_baseline,32761000
read_mostly,39,post_migration,696883700
preferred_gpu,0,cpu_baseline,32544600
preferred_gpu,0,post_migration,690423000
preferred_gpu,1,cpu_baseline,32331200
preferred_gpu,1,post_migration,693239300
preferred_gpu,2,cpu_baseline,32801300
preferred_gpu,2,post_migration,685329500
preferred_gpu,3,cpu_baseline,32806000
preferred_gpu,3,post_migration,693196400
preferred_gpu,4,cpu_baseline,32378700
preferred_gpu,4,post_migration,689824500
preferred_gpu,5,cpu_baseline,32445000
preferred_gpu,5,post_migration,695072000
preferred_gpu,6,cpu_baseline,45355000
preferred_gpu,6,post_migration,737009100
preferred_gpu,7,cpu_baseline,32346500
preferred_gpu,7,post_migration,704947700
preferred_gpu,8,cpu_baseline,32257400
preferred_gpu,8,post_migration,700916700
preferred_gpu,9,cpu_baseline,32423900
preferred_gpu,9,post_migration,696499400
preferred_gpu,10,cpu_baseline,32957500
preferred_gpu,10,post_migration,715919100
preferred_gpu,11,cpu_baseline,32515200
preferred_gpu,11,post_migration,703288300
preferred_gpu,12,cpu_baseline,32190100
preferred_gpu,12,post_migration,696301400
preferred_gpu,13,cpu_baseline,36976700
preferred_gpu,13,post_migration,699606700
preferred_gpu,14,cpu_baseline,32639400
preferred_gpu,14,post_migration,695615800
preferred_gpu,15,cpu_baseline,33159000
preferred_gpu,15,post_migration,711798100
preferred_gpu,16,cpu_baseline,32230800
preferred_gpu,16,post_migration,707777000
preferred_gpu,17,cpu_baseline,35253800
preferred_gpu,17,post_migration,721030400
preferred_gpu,18,cpu_baseline,33157000
preferred_gpu,18,post_migration,687773400
preferred_gpu,19,cpu_baseline,32936900
preferred_gpu,19,post_migration,689454500
preferred_gpu,20,cpu_baseline,32275400
preferred_gpu,20,post_migration,688883800
preferred_gpu,21,cpu_baseline,32685400
preferred_gpu,21,post_migration,691358200
preferred_gpu,22,cpu_baseline,32943600
preferred_gpu,22,post_migration,687810500
preferred_gpu,23,cpu_baseline,32606400
preferred_gpu,23,post_migration,690285500
preferred_gpu,24,cpu_baseline,33267700
preferred_gpu,24,post_migration,706428500
preferred_gpu,25,cpu_baseline,33147700
preferred_gpu,25,post_migration,690530600
preferred_gpu,26,cpu_baseline,32220800
preferred_gpu,26,post_migration,692013700
preferred_gpu,27,cpu_baseline,32893500
preferred_gpu,27,post_migration,688510000
preferred_gpu,28,cpu_baseline,32540800
preferred_gpu,28,post_migration,702126400
preferred_gpu,29,cpu_baseline,33158100
preferred_gpu,29,post_migration,706030600
preferred_gpu,30,cpu_baseline,32939600
preferred_gpu,30,post_migration,700858400
preferred_gpu,31,cpu_baseline,33714300
preferred_gpu,31,post_migration,690766100
preferred_gpu,32,cpu_baseline,32604200
preferred_gpu,32,post_migration,702643000
preferred_gpu,33,cpu_baseline,33376000
preferred_gpu,33,post_migration,691649300
preferred_gpu,34,cpu_baseline,33026400
preferred_gpu,34,post_migration,702816400
preferred_gpu,35,cpu_baseline,33322300
preferred_gpu,35,post_migration,695940600
preferred_gpu,36,cpu_baseline,32668300
preferred_gpu,36,post_migration,691564100
preferred_gpu,37,cpu_baseline,33450900
preferred_gpu,37,post_migration,692621500
preferred_gpu,38,cpu_baseline,32870300
preferred_gpu,38,post_migration,686105500
preferred_gpu,39,cpu_baseline,33726300
preferred_gpu,39,post_migration,696039000
accessed_by_cpu,0,cpu_baseline,32997400
accessed_by_cpu,0,post_migration,687999900
accessed_by_cpu,1,cpu_baseline,32602900
accessed_by_cpu,1,post_migration,690369700
accessed_by_cpu,2,cpu_baseline,33096400
accessed_by_cpu,2,post_migration,689845500
accessed_by_cpu,3,cpu_baseline,33341200
accessed_by_cpu,3,post_migration,699920900
accessed_by_cpu,4,cpu_baseline,33052700
accessed_by_cpu,4,post_migration,691273300
accessed_by_cpu,5,cpu_baseline,33561800
