pattern,run,phase,latency_ns
strided,36,post_migration,661461200
strided,37,cpu_baseline,1870800
strided,37,post_migration,664882400
strided,38,cpu_baseline,1986700
strided,38,post_migration,665924700
strided,39,cpu_baseline,2045400
strided,39,post_migration,666793300
strided,40,cpu_baseline,2050400
strided,40,post_migration,674195200
strided,41,cpu_baseline,2051900
strided,41,post_migration,686178700
strided,42,cpu_baseline,2070800
strided,42,post_migration,721427900
strided,43,cpu_baseline,2076600
strided,43,post_migration,743941600
strided,44,cpu_baseline,2163000
strided,44,post_migration,758721400
strided,45,cpu_baseline,2207900
strided,45,post_migration,761428300
strided,46,cpu_baseline,2246300
strided,46,post_migration,771989500
strided,47,cpu_baseline,2467100
strided,47,post_migration,814698700
strided,48,cpu_baseline,2505100
strided,48,post_migration,858052900
strided,49,cpu_baseline,2518600
strided,49,post_migration,874135300
random,0,cpu_baseline,100952900
random,0,post_migration,500351800
random,1,cpu_baseline,103489200
random,1,post_migration,502827400
random,2,cpu_baseline,103868100
random,2,post_migration,503342700
random,3,cpu_baseline,104088400
random,3,post_migration,503783600
random,4,cpu_baseline,104200900
random,4,post_migration,504508500
random,5,cpu_baseline,104236700
random,5,post_migration,506100200
random,6,cpu_baseline,104319500
random,6,post_migration,508623300
random,7,cpu_baseline,104412000
random,7,post_migration,512226700
random,8,cpu_baseline,104422900
random,8,post_migration,513896000
random,9,cpu_baseline,104533100
random,9,post_migration,514639000
random,10,cpu_baseline,104613800
random,10,post_migration,515158000
random,11,cpu_baseline,104650400
random,11,post_migration,515252200
random,12,cpu_baseline,104733400
random,12,post_migration,515561800
random,13,cpu_baseline,104787200
random,13,post_migration,515583600
random,14,cpu_baseline,105339200
random,14,post_migration,516559200
random,15,cpu_baseline,105810100
random,15,post_migration,517559100
random,16,cpu_baseline,105954400
random,16,post_migration,519390300
random,17,cpu_baseline,106136000
random,17,post_migration,519968000
random,18,cpu_baseline,106466700
random,18,post_migration,523772000
random,19,cpu_baseline,106590400
random,19,post_migration,524746800
random,20,cpu_baseline,106615400
random,20,post_migration,527033100
random,21,cpu_baseline,106824500
random,21,post_migration,527248300
random,22,cpu_baseline,106989700
random,22,post_migration,527661000
random,23,cpu_baseline,107009600
random,23,post_migration,531928700
random,24,cpu_baseline,107431100
random,24,post_migration,531958200
random,25,cpu_baseline,107534300
random,25,post_migration,552173600
random,26,cpu_baseline,108040100
random,26,post_migration,576005900
random,27,cpu_baseline,108458600
random,27,post_migration,590240300
random,28,cpu_baseline,108938400
random,28,post_migration,693699900
random,29,cpu_baseline,109601300
random,29,post_migration,696128800
random,30,cpu_baseline,111910400
random,30,post_migration,699144700
random,31,cpu_baseline,112287500
random,31,post_migration,704998100
random,32,cpu_baseline,112372400
random,32,post_migration,706387600
random,33,cpu_baseline,113901400
random,33,post_migration,707226800
random,34,cpu_baseline,115968900
random,34,post_migration,721075500
random,35,cpu_baseline,128227500
random,35,post_migration,766435100
random,36,cpu_baseline,128230200
random,36,post_migration,767800900
random,37,cpu_baseline,129065400
random,37,post_migration,777209400
random,38,cpu_baseline,130289100
random,38,post_migration,789917200
random,39,cpu_baseline,368177400
random,39,post_migration,953195800
random,40,cpu_baseline,386164300
random,40,post_migration,970076400
random,41,cpu_baseline,406519700
random,41,post_migration,1003144100
random,42,cpu_baseline,415460500
random,42,post_migration,1005198400
