size_bytes,strategy,run,gpu_time_us
16777216,explicit_prefetch,12,138
16777216,on_demand,13,137
16777216,explicit_prefetch,13,145
16777216,on_demand,14,136
16777216,explicit_prefetch,14,139
16777216,on_demand,15,135
16777216,explicit_prefetch,15,135
16777216,on_demand,16,136
16777216,explicit_prefetch,16,161
16777216,on_demand,17,137
16777216,explicit_prefetch,17,136
16777216,on_demand,18,135
16777216,explicit_prefetch,18,136
16777216,on_demand,19,136
16777216,explicit_prefetch,19,149
33554432,on_demand,0,308
33554432,explicit_prefetch,0,276
33554432,on_demand,1,267
33554432,explicit_prefetch,1,274
33554432,on_demand,2,262
33554432,explicit_prefetch,2,261
33554432,on_demand,3,272
33554432,explicit_prefetch,3,261
33554432,on_demand,4,260
33554432,explicit_prefetch,4,271
33554432,on_demand,5,261
33554432,explicit_prefetch,5,261
33554432,on_demand,6,275
33554432,explicit_prefetch,6,267
33554432,on_demand,7,262
33554432,explicit_prefetch,7,270
33554432,on_demand,8,260
33554432,explicit_prefetch,8,261
33554432,on_demand,9,269
33554432,explicit_prefetch,9,261
33554432,on_demand,10,261
33554432,explicit_prefetch,10,271
33554432,on_demand,11,260
33554432,explicit_prefetch,11,261
33554432,on_demand,12,272
33554432,explicit_prefetch,12,262
33554432,on_demand,13,261
33554432,explicit_prefetch,13,272
33554432,on_demand,14,261
33554432,explicit_prefetch,14,261
33554432,on_demand,15,273
33554432,explicit_prefetch,15,262
33554432,on_demand,16,261
33554432,explicit_prefetch,16,270
33554432,on_demand,17,263
33554432,explicit_prefetch,17,264
33554432,on_demand,18,272
33554432,explicit_prefetch,18,262
33554432,on_demand,19,262
33554432,explicit_prefetch,19,272
67108864,on_demand,0,1108
67108864,explicit_prefetch,0,792
67108864,on_demand,1,755
67108864,explicit_prefetch,1,773
67108864,on_demand,2,1145
67108864,explicit_prefetch,2,867
67108864,on_demand,3,864
67108864,explicit_prefetch,3,864
67108864,on_demand,4,863
67108864,explicit_prefetch,4,863
67108864,on_demand,5,873
67108864,explicit_prefetch,5,913
67108864,on_demand,6,862
67108864,explicit_prefetch,6,722
67108864,on_demand,7,739
67108864,explicit_prefetch,7,909
67108864,on_demand,8,680
67108864,explicit_prefetch,8,692
67108864,on_demand,9,668
67108864,explicit_prefetch,9,658
67108864,on_demand,10,875
67108864,explicit_prefetch,10,1116
67108864,on_demand,11,1094
67108864,explicit_prefetch,11,1108
67108864,on_demand,12,1133
67108864,explicit_prefetch,12,1095
67108864,on_demand,13,1094
67108864,explicit_prefetch,13,868
67108864,on_demand,14,1089
67108864,explicit_prefetch,14,1097
67108864,on_demand,15,1095
67108864,explicit_prefetch,15,969
67108864,on_demand,16,1104
67108864,explicit_prefetch,16,698
67108864,on_demand,17,687
67108864,explicit_prefetch,17,671
67108864,on_demand,18,656
67108864,explicit_prefetch,18,1122
67108864,on_demand,19,1092
67108864,explicit_prefetch,19,1091
134217728,on_demand,0,1314
134217728,explicit_prefetch,0,1381
134217728,on_demand,1,1333
134217728,explicit_prefetch,1,1249
134217728,on_demand,2,1479
134217728,explicit_prefetch,2,1689
134217728,on_demand,3,1687
134217728,explicit_prefetch,3,1514
134217728,on_demand,4,1498
134217728,explicit_prefetch,4,1485
134217728,on_demand,5,1440
134217728,explicit_prefetch,5,1489
134217728,on_demand,6,1484
134217728,explicit_prefetch,6,1784
134217728,on_demand,7,1605
134217728,explicit_prefetch,7,1189
134217728,on_demand,8,1121
134217728,explicit_prefetch,8,1388
134217728,on_demand,9,1496
134217728,explicit_prefetch,9,1487
134217728,on_demand,10,1483
134217728,explicit_prefetch,10,1389
134217728,on_demand,11,1686
134217728,explicit_prefetch,11,1498
134217728,on_demand,12,1766
134217728,explicit_prefetch,12,1837
134217728,on_demand,13,1500
134217728,explicit_prefetch,13,1427
134217728,on_demand,14,1126
134217728,explicit_prefetch,14,1113
134217728,on_demand,15,1397
134217728,explicit_prefetch,15,1491
134217728,on_demand,16,1486
134217728,explicit_prefetch,16,1486
134217728,on_demand,17,1891
134217728,explicit_prefetch,17,1829
134217728,on_demand,18,1703
134217728,explicit_prefetch,18,1399
134217728,on_demand,19,1497
134217728,explicit_prefetch,19,2003
